Minutes played,Field Goals Made,Field Goals Attempted,Field Goals 3 Points Made,Field Goal 3 Points Attempt,Free Throws Made,Free Throws Attempt,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Double-double,Triple-double,Draftkings next game score
35,6,17,1,6,2,2,0,3,4,1,0,4,2,15,0,0,72.0
36,17,26,5,10,12,18,3,1,5,1,0,3,1,51,0,0,37.0
27,6,19,0,5,2,4,0,4,6,1,0,0,2,14,0,0,44.25
31,9,16,3,5,6,7,3,8,10,0,0,2,2,27,0,1,47.0
37,7,14,4,6,5,7,0,6,5,1,1,5,1,23,0,0,57.75
38,8,20,3,8,3,4,2,5,4,2,1,1,0,22,0,0,38.5
28,7,17,0,4,3,4,2,0,7,1,0,4,0,17,0,0,43.25
39,11,25,2,6,10,13,3,4,3,0,0,1,2,34,0,0,27.25
27,6,14,0,3,1,3,0,5,1,2,2,4,1,13,0,0,91.75
36,9,21,3,8,1,4,2,3,7,3,0,2,4,22,0,0,73.25
35,10,17,2,5,5,8,1,4,13,1,0,3,1,27,1,0,98.0
33,16,29,1,5,4,4,1,5,9,2,1,6,1,37,0,0,63.75
25,6,17,3,5,5,6,1,8,5,2,1,2,1,20,0,0,9.75
